🕘️更新时间,#genre#
2025-05-06 17:05:06,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,http://221.13.235.5:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=711a27&tk=6949f8ce7202
CCTV-1,http://itv.iptv1688.top:2016/itv.php?id=CCTV1
CCTV-1,http://112.46.105.20:8009/hls/501/index.m3u8
CCTV-1,http://113.64.146.6:2024/hls/18/index.m3u8
CCTV-1,http://59.188.94.126:35455/bptv/10000100000000050000000003864351.m3u8
CCTV-1,http://113.101.119.27:808/hls/113/index.m3u8
CCTV-1,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV-2,http://221.13.235.5:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://59.188.94.126:35455/bptv/10000100000000050000000003870745.m3u8
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=ed5ace&tk=6949f8ce7202
CCTV-2,http://112.46.105.20:8009/hls/502/index.m3u8
CCTV-2,http://itv.iptv1688.top:2016/itv.php?id=CCTV2
CCTV-2,http://110.81.206.138:49231/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://113.64.146.6:2024/hls/19/index.m3u8
CCTV-2,http://113.101.119.27:808/hls/114/index.m3u8
CCTV-2,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225612/index.m3u8
CCTV-2,http://113.101.119.50:808/hls/114/index.m3u8
CCTV-3,http://221.13.235.5:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://ms.fxim.net:808/hls/3/index.m3u8
